dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,24,Alexander Zverev,Stefanos Tsitsipas,True,model_a,model_a,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,25,Novak Djokovic,Carlos Alcaraz,True,model_b,model_b,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,26,Jannik Sinner,Taylor Fritz,True,model_b,model_b,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,27,Taylor Fritz,Daniil Medvedev,True,model_a,model_a,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,28,Holger Rune,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,6,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,29,Carlos Alcaraz,Jannik Sinner,True,model_a,model_a,True,1,1,True,False,7,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,30,Stefanos Tsitsipas,Alexander Zverev,False,already_done,model_b,False,0,1,True,False,7,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,31,Andrey Rublev,Stefanos Tsitsipas,False,already_done,model_b,False,0,1,True,False,7,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,32,Novak Djokovic,Taylor Fritz,False,already_done,model_b,False,0,1,True,False,7,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,33,Novak Djokovic,Jannik Sinner,False,already_done,model_a,False,0,1,True,False,7,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,2,34,Jannik Sinner,Andrey Rublev,False,already_done,model_b,False,0,1,True,True,7,7,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,1,Novak Djokovic,Alexander Zverev,True,model_b,model_a,False,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,2,Taylor Fritz,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,3,Novak Djokovic,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,4,Jannik Sinner,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,5,Carlos Alcaraz,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,6,Daniil Medvedev,Hubert Hurkacz,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,7,Jannik Sinner,Hubert Hurkacz,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,3,8,Carlos Alcaraz,Holger Rune,True,model_b,model_b,True,1,1,False,False,4,4,4
